,gene name,G1,G2,G3,C1,C2,C3,Young_mean,Aging_mean,logFC,pvalue,padj,classification
TAGAP-AS1,TAGAP-AS1,100.70561789417,75.906418304078,91.4741942429679,52.2672147198747,51.0810752652177,30.8540373883426,44.7341091244783,89.3620768137386,-0.998271324,0.0112602967377282,0.0394195431516087,Down in Young
TAGLN3,TAGLN3,1.73630375679603,2.64789831293296,2.66429691969809,0,0,0,0,2.34949966314236,-11.19875176,0.00155940825151483,0.0102766288417183,Down in Young
TAMM41,TAMM41,303.853157439306,336.283085742485,302.84174987235,184.603354117004,188.432410978359,160.881766382072,177.972510492478,314.325997684714,-0.820603664,0.000615425350876748,0.00592613201542421,Down in Young
TAP1,TAP1,921.109142980296,934.708104465333,906.749051670584,619.42209785043,665.189113453724,631.405836554297,638.67234928615,920.855433038738,-0.527897999,5.92681267461734e-05,0.00180479829502462,Down in Young
TAP2,TAP2,971.461951927381,857.0364206,1016.87332435144,598.292798282821,689.026948577492,537.741794482542,608.353847114285,948.457232299374,-0.640671164,0.00628971318253495,0.0262203608868374,Down in Young
TAPT1,TAPT1,703.203021502394,730.819934369496,740.67454367607,534.904899579995,484.702647516621,505.785827187473,508.464458094696,724.899166515987,-0.51163255,0.000297193044052737,0.0038805950377709,Down in Young
TAPT1-AS1,TAPT1-AS1,131.090933638101,140.338610585447,143.872033663697,57.8275567113508,47.6756702475365,33.0578972017956,46.1870413868943,138.433859295748,-1.583615999,0.000345058832192482,0.0042206628006864,Down in Young
TAS1R3,TAS1R3,107.650832921354,145.634407211313,132.326747011672,28.9137783556754,41.9999952180679,38.5675467354283,36.4937734363905,128.537329048113,-1.816436853,0.00145584508329584,0.00988816371115366,Down in Young
TATDN2P1,TATDN2P1,524.363734552402,438.668487175893,539.076076752247,340.292929878333,292.864831520581,314.050023417059,315.735928271991,500.702766160181,-0.6652343,0.0056485480979521,0.0243606070410089,Down in Young
TATDN2P2,TATDN2P2,176.234831314798,212.714497805614,166.074507994514,73.3965142874837,77.1891804007734,65.0138644968648,71.866519728374,185.007945704975,-1.364183229,0.00149787271836106,0.0100468260331793,Down in Young
TATDN3,TATDN3,382.854978373526,346.874678994217,317.051333444073,186.827490913595,145.297280754397,170.799135542611,167.641302403534,348.926996937272,-1.057543119,0.00129759504194555,0.0091784458438417,Down in Young
TBC1D22A-DT,TBC1D22A-DT,93.7604028669859,97.9722375785193,79.0408086177101,66.7241038977124,55.6216152887926,63.9119345901382,62.0858845922144,90.2578163544051,-0.539779318,0.013208770115894,0.0442083982370133,Down in Young
TBC1D3B,TBC1D3B,1.73630375679603,1.7652655419553,0.888098973232698,0,0,0,0,1.46322275732801,-10.51591934,0.00705000260808441,0.0283063435887688,Down in Young
TBC1D4,TBC1D4,1130.33374567422,1168.60578877441,1076.37595555803,880.758171449804,709.459378683579,784.574093589283,791.597214574222,1125.10516333555,-0.507220875,0.00407711083789525,0.0192684460860811,Down in Young
TBC1D8-AS1,TBC1D8-AS1,26.9127082303385,21.1831865034636,20.426276384352,11.1206839829521,9.08108004714981,4.40771962690609,8.20316121900267,22.8407237060514,-1.477243778,0.00683783088417459,0.0277606066250427,Down in Young
TBCE,TBCE,198.806780153146,191.53131130215,198.934170004124,55.6034199147603,72.6486403771985,79.3389532843095,69.1970045254228,196.42408715314,-1.50517686,6.99707606944307e-05,0.00191464604086731,Down in Young
TBRG4,TBRG4,1319.59085516499,1630.22272799572,1508.88015552235,872.973692661737,899.026924667831,841.874448739062,871.291688689543,1486.23124622769,-0.770430234,0.00259242522978331,0.0142055492283633,Down in Young
TBX2,TBX2,116.332351705334,124.451220707849,92.3622932162006,71.1723774908932,32.9189151709181,37.4656168287017,47.1856364968377,111.048621876461,-1.234754237,0.0144166518345925,0.0471485462396523,Down in Young
TBX6,TBX6,67.7158465150454,71.4932544491898,49.7335425010311,18.9051627710185,23.8378351237683,16.5289486008978,19.7573154985615,62.9808811550888,-1.672476894,0.00358557024258224,0.0175708556008726,Down in Young
TCEANC2,TCEANC2,1167.66427644533,1146.53996949997,1118.11660729997,681.697928154962,597.0810131,593.940219725595,624.239720326886,1144.10695108176,-0.874048807,8.53430721508416e-05,0.00210969183604051,Down in Young
TCF4-AS1,TCF4-AS1,0.868151878398017,0.882632770977652,0.888098973232698,0,0,0,0,0.879627874202789,-9.7823887,1.25657000286195e-08,1.41404107094879e-05,Down in Young
TCOF1,TCOF1,3005.54180301394,3098.92365890253,3098.57731760888,2254.16264334438,2291.83757689943,1917.35803770415,2154.45275264932,3067.68092650845,-0.509826774,0.00175838474608584,0.0111278965129977,Down in Young
TCTA,TCTA,1349.10801903052,1165.0752576905,1308.16978757176,531.568694385109,547.135072840776,586.226710378509,554.976825868131,1274.11768809759,-1.19899764,0.00024500362984952,0.00351658618903056,Down in Young
TCTE1,TCTE1,15.6267338111643,19.4179209615083,15.0976825449559,2.22413679659041,3.40540501768118,5.50964953363261,3.71306378263473,16.7141124392095,-2.170082563,0.00145352336969153,0.00988052665114037,Down in Young
TDRD5,TDRD5,34.7260751359207,37.0705763810614,39.9644537954714,4.44827359318083,7.94594504125608,15.4270186941713,9.27374577620274,37.2537017708178,-2.006042871,0.00143878798468759,0.00980871519450346,Down in Young
