,gene name,logFC,pvalue,padj,G1,G2,G3,B1,B2,B3,classification
C3orf70,C3orf70,1.76219031598297,3.06015709516756e-05,0.000237948317081656,9.15580908578615,19.5027434972009,15.9328011237127,50.1401404956803,49.8010812400517,51.1887868717814,Up
C3orf80,C3orf80,3.04353220460596,4.13034867623408e-16,1.50286105308875e-14,21.9739418058867,7.42961657036223,12.1839067416627,83.5669008261338,127.750599702741,132.237699418768,Up
C6orf141,C6orf141,1.63552135785316,7.28889513350453e-26,5.372837297835e-24,153.817592641207,122.588673410977,129.336856180727,444.993746899163,436.300776950888,379.650169299045,Up
CA12,CA12,0.850182794178196,9.23457281834555e-08,1.16922636691116e-06,161.142239909836,146.734927264654,156.51634045059,292.484152891468,263.079624811578,281.538327794797,Up
CABIN1,CABIN1,0.68907034043496,1.06838596533458e-14,3.36685955562195e-13,911.003004035722,913.842838154554,807.886739331787,1504.20421487041,1407.4218611319,1333.04132478597,Up
CACNA1C,CACNA1C,1.60659981426174,9.09131952530474e-08,1.15222593114188e-06,52.188111788981,75.2248677749176,26.2422606743504,133.707041321814,191.625899554112,142.902030017056,Up
CACNG8,CACNG8,0.547263679987114,1.01512632584834e-05,8.8181579785512e-05,412.011408860377,495.926906071679,416.127276407556,732.254968488998,590.034549474526,612.132576341719,Up
CADPS2,CADPS2,1.24587678281912,4.91414471793298e-21,2.63718912770746e-19,239.882198047597,206.171859827552,255.862041574916,526.471475204643,600.860871483233,537.482262153704,Up
CALB2,CALB2,1.86112934393972,0.00441437646273989,0.0190999776410519,7.32464726862892,2.78610621388584,7.49778876410011,16.7133801652268,24.9005406200259,22.3950942564043,Up
CALCRL,CALCRL,1.22291878166834,2.56280634004897e-14,7.81701643697218e-13,184.94734353288,141.162714836882,180.884153933915,342.624293387149,403.821810924767,437.237554529799,Up
CALHM2,CALHM2,0.619582459151976,1.39094625028821e-05,0.00011700112337341,295.732633470892,239.605134394182,240.866464046716,361.426846073029,412.482868531733,419.10819251271,Up
CALM1,CALM1,0.68497194052555,1.41315026615989e-26,1.09187140444378e-24,2576.44467674022,2810.25246773951,2835.10137642536,4329.81004905406,4500.50205901946,4387.30560813559,Up
CAP2,CAP2,0.567117198300416,1.04584665523646e-09,1.78973038026188e-08,652.809187816552,608.299856698408,673.863765173498,942.216806814659,978.699509587104,945.926124068126,Up
CAPN15,CAPN15,0.633973760801905,4.15776362567765e-10,7.51091214971007e-09,1163.70333480342,1252.81909417733,1079.68158203042,2114.24259090119,1674.83201474696,1635.90831377735,Up
CAPN2,CAPN2,0.696276417959097,1.95501206259358e-29,1.76584399400178e-27,6589.43579904029,6849.17777580268,6827.67389330867,11758.9075324974,10757.0335478512,10320.9391530229,Up
CAPN5,CAPN5,0.845629906486296,1.35607722792717e-22,8.12759183429622e-21,922.905555847243,843.261480736113,858.496813489463,1676.56094782431,1461.55347117543,1578.32092854659,Up
CARD10,CARD10,1.09965779032861,2.37558363855527e-05,0.000189544234824945,46.6946263375093,54.7934222064214,78.7267820230512,147.286662706061,124.502703100129,114.108337401679,Up
