Gene	Pi-score
AGO2	0.541189754
AGO3	-0.193745866
AGO3	0.009241672
AGO4	0.15406052
AGPAT1	-0.375097045
AGPAT1	0.039803264
AGPAT1	-0.0098467
AGPAT2	0.547391649
AGPAT2	0.082721025
AGPAT2	0.035096532
AGPAT3	-0.045718843
AGPAT3	0.055178907
AGPAT3	0.003072676
AGPAT4	0.278077177
AGPAT4-IT1	-0.047707812
AGPAT4-IT1	-0.073281183
AGPAT5	0.138914396
AGPS	0.031490853
AGR2	-0.810109717
AGR2	-0.536432696
AGR3	0.00271391
AGR3	0.002490649
AGRN	0.032397482
AGRN	0.002568255
AGRP	0.005277721
AGRP	-0.000256829
AGT	-0.040508663
AGTPBP1	0.930676747
AGTPBP1	0.575422002
AGTR1	0.084637455
AGTR1	0.01053896
AGTR2	0.006600254
AGTRAP	-0.051586578
AGTRAP	-0.013830037
AGXT	0.000295125
AGXT2	-0.001243229
AHCTF1	0.618001197
AHCTF1	0.14706148
AHCTF1	0.012335296
AHCY	-0.527584215
AHCYL1	-0.10232733
AHCYL2	0.037160335
AHDC1	-0.065807046
AHI1	0.039887197
AHNAK	1.157804926
AHNAK	0.195420339
AHNAK	0.165461308
AHNAK2	0.060381143
AHNAK2	0.160499083
AHNAK2	0.029303021
AHNAK2	-1.09E-05
AHR	0.588126964
AHR	0.09696734
AHRR	-0.00037267
AHSA1	-0.35111524
AHSA2	0.317572682
AHSG	-0.018808517
AHSP	-0.336689769
AICDA	-0.016524087
AIDA	0.020317666
AIF1	-0.536672897
AIF1	-0.343737463
AIF1L	-0.320750217
AIF1L	-0.152569425
AIFM1	-0.081958615
AIFM1	-0.004146442
AIFM2	0.003861652
AIFM3	0.009656261
AIG1	3.38E-05
AIM1	-0.116405352
AIM1L	-0.030838633
AIM1L	-0.04059565
AIM1L	-0.003825441
AIM1L	-0.000328173
AIM1L	-4.88E-05
AIM2	-0.415023156
AIM2	4.66E-05
AIMP1	-0.504838439
AIMP2	-0.07003454
AIP	-0.094470693
AIPL1	-0.009181192
AIPL1	-0.002061308
AIRE	1.170676156
AIRE	-0.048669565
AJAP1	0.02972057
AJAP1	0.067023723
AJAP1	-0.017617537
AJUBA	-0.051106414
AJUBA	-0.016740672
AJUBA	0.031868627
AK1	0.010959587
AK2	-0.18511655
AK2	-0.095754571
AK2	-0.022330352
AK3	0.013948654
AK4	0.044142746
AK4	-0.070390238
AK4	0.061017433
AK4	0.003973048
AK4	-0.000325872
AK5	-0.1553274
AK5	0.044678474
AK5	-0.001104196
AK6	-0.515264648
AK6	-0.377937708
AK7	0.00360112
AK8	0.005200341
AK9	0.074953897
AKAIN1	0.040565065
AKAIN1	-0.036359326
AKAIN1	-0.025507551
AKAP1	0.075706648
AKAP10	-0.098292159
AKAP11	0.065514887
AKAP11	0.044361684
AKAP11	0.004042149
AKAP12	0.330824541
AKAP12	0.099970009
AKAP12	0.006753345
AKAP12	0.004787219
AKAP13	0.215268969
AKAP13	0.26064209
AKAP14	-0.066364404
AKAP14	0.006197014
AKAP14	-0.000195147
AKAP17A	0.21220256
AKAP17A	0.006804794
AKAP2	0.011351152
AKAP2	0.022152238
AKAP2	-0.014400733
AKAP3	-0.070481803
AKAP4	0.071280151
AKAP4	0.040979504
AKAP4	0.00524401
AKAP5	0.005908409
AKAP6	0.026705669
AKAP7	0.265184357
AKAP7	0.072425548
AKAP7	-0.015083885
AKAP7	0.005059032
AKAP8	0.027076502
AKAP8L	0.000115479
AKAP9	0.000424056
AKIP1	-0.306806266
AKIP1	-0.016773766
AKIRIN1	-0.185187832
AKIRIN1	-0.008739848
AKIRIN1	-0.008982935
AKIRIN2	-0.00963202
AKNA	0.023014673
AKNAD1	0.032850674
AKNAD1	0.0161852
AKR1A1	-0.588846806
AKR1A1	-0.235120367
AKR1A1	0.005746014
AKR1B1	-0.114447813
AKR1B10	-1.541396554
AKR1B15	-0.629427555
AKR1C1	0.044987799
AKR1C2	0.041432714
AKR1C2	-0.017602755
AKR1C2	-0.019015104
AKR1C2	0.011678048
AKR1C2	0.016467977
AKR1C2	6.04E-05
AKR1C3	-0.087090528
AKR1C4	-0.109614951
AKR1C4	-0.006687653
AKR1C6P	-0.108623073
AKR1C6P	0.041832906
AKR1D1	0.871456873
AKR1D1	-0.013479617
AKR1E2	-0.007052165
AKR7A2	-1.11E-05
AKR7A2P1	0.104893903
AKR7A2P1	-0.016558954
AKR7A3	-0.255590071
AKR7A3	-0.001901224
AKT1	0.058919329
AKT1	-0.000874499
AKT1	-0.000608582
AKT1S1	-0.575479704
AKT2	-0.007930308
AKT3	0.368979117
AKT3	-0.02246069
AKT3	0.002756867
AKT3	0.001653314
AKTIP	-0.050675465
AKTIP	0.000721486
ALAD	0.047009929
ALAD	-0.014959319
ALAD	0.001751878
ALAS1	-0.153013465
ALAS1	-0.142545951
ALAS1	0.005693108
ALAS2	0.372459277
ALAS2	0.08385038
ALAS2	0.002259802
ALB	0.132325255
ALB	0.000135757
ALCAM	0.936918235
ALDH16A1	-0.047925677
ALDH18A1	-0.065887372
ALDH1A1	0.007526911
ALDH1A1	0.008118177
ALDH1A2	-0.192363499
ALDH1A2	-0.138643642
ALDH1A3	-0.291591224
ALDH1A3	-0.007901057
ALDH1B1	-0.003951052
ALDH1B1	-0.000792911
ALDH1L1	-0.003305066
ALDH1L2	0.000799781
ALDH2	0.681384266
ALDH3A1	1.45E-06
ALDH3A2	0.034820711
ALDH3A2	0.030252149
ALDH3A2	1.85E-06
ALDH3B1	0.096972338
ALDH3B1	0.048637229
ALDH3B2	1.301704605
ALDH3B2	0.653473156
ALDH3B2	-0.012821648
ALDH4A1	0.08708119
ALDH4A1	-0.01984701
ALDH4A1	-0.008130143
ALDH4A1	0.00363581
ALDH5A1	0.006970993
ALDH5A1	-0.006783657
ALDH6A1	0.377276043
ALDH6A1	0.339474824
ALDH7A1	-0.327990343
ALDH7A1	-0.109892694
ALDH8A1	-0.086394237
ALDH8A1	-0.282230742
ALDH8A1	-0.048057144
ALDH9A1	-0.002091615
ALDOA	-0.191458976
ALDOA	-0.198961447
ALDOA	-0.000565594
ALDOA	0.000105534
ALDOB	-0.01446077
ALDOC	-0.449785719
ALG1	-0.403981864
ALG10	0.006555206
ALG10B	0.214826205
ALG10B	0.018051129
ALG10B	0.017509972
ALG11	-0.014589637
ALG11	0.003714807
ALG12	0.128334623
ALG13	0.04213817
ALG13	-0.01421277
ALG13	0.003192836
ALG14	-0.461844768
ALG14	-0.434136006
ALG1L	0.084937992
ALG1L	-4.92E-05
ALG2	0.001154574
ALG3	-0.04779976
ALG5	-0.139839322
ALG6	0.188329377
ALG8	-0.072459069
ALG8	0.032176359
ALG8	0.000411328
ALG9	0.001984579
ALK	0.519283509
ALKBH1	-0.734039302
ALKBH1	-0.058671726
ALKBH1	-0.004321472
ALKBH2	-0.013247448
ALKBH3	-0.011221597
